Date,Close,High,Low,Open,Volume
5/23/2002,1.196429014,1.242856979,1.145714045,1.156429052,104790000
5/24/2002,1.210000038,1.225000024,1.197142959,1.21428597,11104800
5/28/2002,1.157142997,1.232143044,1.157142997,1.213570952,6609400
5/29/2002,1.103571057,1.164286017,1.085713983,1.164286017,6757800
5/30/2002,1.071429014,1.107856989,1.071429014,1.107856989,10154200
5/31/2002,1.076429009,1.078570962,1.071429014,1.078570962,8464400
6/3/2002,1.128571033,1.149286032,1.076429009,1.080000043,3151400
6/4/2002,1.117856979,1.139999986,1.110713959,1.135714054,3105200
6/5/2002,1.147143006,1.159286022,1.107143044,1.110713959,1531600
6/6/2002,1.182142973,1.232143044,1.148571014,1.149999976,2305800
6/7/2002,1.118571043,1.177857041,1.103571057,1.177857041,1369200
6/10/2002,1.156429052,1.174999952,1.134286046,1.13499999,484400
6/11/2002,1.15357101,1.188570976,1.128571033,1.156429052,1003800
6/12/2002,1.092857003,1.182142973,1.08928597,1.15357101,1799000
6/13/2002,1.082857013,1.12214303,1.080000043,1.104285955,2567600
6/14/2002,0.986428976,1.085713983,0.980000019,1.082142949,4783800
6/17/2002,0.922142982,1.059285998,0.917856991,1.013571024,4855200
6/18/2002,0.910713971,0.939285994,0.842142999,0.938570976,10808000
6/19/2002,0.951429009,0.996429026,0.892857015,0.911428988,5482400
6/20/2002,0.957143009,1.039999962,0.949999988,0.97142899,6111000
6/21/2002,0.979286015,0.989286005,0.947857022,0.982142985,2346400
6/24/2002,0.978570998,1.014286041,0.957143009,0.979286015,2567600
6/25/2002,0.964286029,1.007143021,0.947143018,0.988570988,3941000
6/26/2002,0.988570988,0.996429026,0.921428978,0.963571012,2924600
6/27/2002,0.943570971,1.018571019,0.942857027,1.009286046,3817800
6/28/2002,0.999285996,1.013571024,0.960713983,0.960713983,9234400
7/1/2002,1.027856946,1.046429038,0.992856979,1,4585000
7/2/2002,1.172857046,1.195000052,1.039286017,1.053570986,9020200
7/3/2002,1.21428597,1.21428597,1.117856979,1.178570986,4957400
7/5/2002,1.276429057,1.299286008,1.213570952,1.21428597,2003400
7/8/2002,1.175714016,1.252143025,1.167857051,1.252143025,1953000
7/9/2002,1.16071403,1.196429014,1.114285946,1.174999952,2935800
7/10/2002,1.163571,1.178570986,1.132143021,1.161429048,1554000
7/11/2002,1.269286036,1.27857101,1.132856965,1.154286027,2529800
7/12/2002,1.207857013,1.279999971,1.207142949,1.27857101,2837800
7/15/2002,1.142856956,1.248571038,1.076429009,1.242856979,4239200
7/16/2002,1.126428962,1.157142997,1.104285955,1.152856946,1941800
7/17/2002,1.08928597,1.163571,1.075713992,1.144999981,1261400
7/18/2002,1.149286032,1.166429043,1.110713959,1.117143035,2899400
7/19/2002,1.159999967,1.16071403,1.12214303,1.152856946,1792000
7/22/2002,1.170714021,1.179286003,1.11500001,1.135714054,1993600
7/23/2002,1.146428943,1.213570952,1.130714059,1.176429033,1577800
7/24/2002,1.114285946,1.159286022,1.074285984,1.146428943,3355800
7/25/2002,1.036429048,1.12785697,1.034999967,1.125,4755800
7/26/2002,0.871429026,1.058570981,0.850000024,1.049999952,7046200
7/29/2002,0.876429021,0.924286008,0.850000024,0.896429002,3260600
7/30/2002,0.914286017,0.942857027,0.893571019,0.893571019,3777200
7/31/2002,0.953571022,0.959999979,0.905713975,0.928570986,3333400
8/1/2002,0.891429007,0.959999979,0.877857029,0.949999988,4529000
8/2/2002,0.777857006,0.88785702,0.706429005,0.886429012,6655600
8/5/2002,0.774999976,0.812856972,0.760713995,0.77857101,3808000
8/6/2002,0.760713995,0.803570986,0.742856979,0.795714021,3217200
8/7/2002,0.793570995,0.793570995,0.742856979,0.760713995,2758000
8/8/2002,0.796428978,0.803570986,0.750714004,0.796428978,2283400
8/9/2002,0.787142992,0.821429014,0.77857101,0.798570991,1500800
8/12/2002,0.757143021,0.807142973,0.753570974,0.802856982,2130800
8/13/2002,0.77285701,0.805000007,0.754285991,0.767857015,1677200
8/14/2002,0.833571017,0.833571017,0.771429002,0.77571398,4047400
8/15/2002,0.882857025,0.910713971,0.832857013,0.837143004,3263400
8/16/2002,0.912856996,0.924286008,0.857142985,0.892857015,1828400
8/19/2002,0.982142985,0.98428601,0.917856991,0.925000012,2074800
8/20/2002,0.946429014,0.993570983,0.921428978,0.985000014,2539600
8/21/2002,0.968571007,0.97142899,0.918570995,0.952857018,2779000
8/22/2002,0.983570993,0.999285996,0.929286003,0.973571002,2963800
8/23/2002,0.993570983,0.996429026,0.967857003,0.993570983,2406600
8/26/2002,0.967857003,0.996429026,0.937856972,0.996429026,2644600
8/27/2002,0.873570979,0.967857003,0.857856989,0.967857003,4984000
8/28/2002,0.864286005,0.889999986,0.824999988,0.861428976,2275000
8/29/2002,0.90357101,0.922142982,0.824285984,0.832857013,2395400
8/30/2002,0.936429024,0.962857008,0.894285977,0.914286017,2121000
9/3/2002,0.925000012,0.963571012,0.913571,0.936429024,1593200
9/4/2002,0.928570986,0.945713997,0.907857001,0.925714016,373800
9/5/2002,0.917856991,0.935714006,0.910713971,0.917856991,285600
9/6/2002,0.914286017,0.935714006,0.910713971,0.927856982,763000
9/9/2002,0.901428998,0.925000012,0.892857015,0.919286013,1419600
9/10/2002,0.944999993,0.949999988,0.889285982,0.90071398,4746000
9/11/2002,0.961429,0.976428986,0.938570976,0.938570976,1629600
9/12/2002,0.925000012,0.967142999,0.914286017,0.962857008,1943200
9/13/2002,0.878570974,0.927142978,0.864286005,0.921428978,2485000
9/16/2002,0.857142985,0.892143011,0.852856994,0.892143011,3512600
9/17/2002,0.829999983,0.864286005,0.824999988,0.863570988,2863000
9/18/2002,0.787856996,0.841428995,0.785000026,0.836429,1521800
9/19/2002,0.72428602,0.785713971,0.717857003,0.785000026,4978400
9/20/2002,0.707857013,0.767857015,0.699999988,0.753570974,3484600
9/23/2002,0.711429,0.732142985,0.705713987,0.714286029,4839800
9/24/2002,0.717857003,0.725000024,0.689285994,0.711429,3747800
9/25/2002,0.732142985,0.75,0.707857013,0.72428602,1457400
9/26/2002,0.782857001,0.782857001,0.728570998,0.748570979,4162200
9/27/2002,0.720000029,0.784286022,0.712143004,0.776428998,5105800
9/30/2002,0.692857027,0.72142899,0.689285994,0.707143009,4837000
10/1/2002,0.678570986,0.709999979,0.660713971,0.709285975,3850000
10/2/2002,0.578571022,0.688570976,0.560714006,0.688570976,9314200
10/3/2002,0.517857015,0.569999993,0.489286005,0.569285989,9765000
10/4/2002,0.468571007,0.531428993,0.447142988,0.517857015,8433600
10/7/2002,0.412142992,0.458570987,0.382142991,0.449999988,15724800
10/8/2002,0.405000001,0.427857012,0.39071399,0.410714,4531800
10/9/2002,0.372857004,0.410714,0.347142994,0.409999996,5982200
10/10/2002,0.506429017,0.524999976,0.34642899,0.377857,13577200
10/11/2002,0.470714003,0.52857101,0.446429014,0.508571029,13281800
10/14/2002,0.534286022,0.535000026,0.463571012,0.464286,5272400
10/15/2002,0.550000012,0.585713983,0.542142987,0.542856991,4125800
10/16/2002,0.459286004,0.532857001,0.442856997,0.529286027,5800200
10/17/2002,0.550000012,0.585713983,0.47142899,0.472142994,7481600
10/18/2002,0.682856977,0.735714018,0.585713983,0.585713983,24904600
10/21/2002,0.636429012,0.664286017,0.608570993,0.638571024,9686600
10/22/2002,0.625,0.643571019,0.617856979,0.635713995,4263000
10/23/2002,0.589286029,0.625,0.585713983,0.625,3539200
10/24/2002,0.579285979,0.606428981,0.553570986,0.606428981,2431800
10/25/2002,0.642857015,0.685000002,0.567857027,0.579999983,6447000
10/28/2002,0.685714006,0.707143009,0.649999976,0.664286017,5647600
10/29/2002,0.657142997,0.678570986,0.632857025,0.675000012,2004800
10/30/2002,0.641429007,0.665714025,0.635713995,0.663571,1423800
10/31/2002,0.64071399,0.642857015,0.623570979,0.636429012,1659000
11/1/2002,0.638571024,0.642857015,0.607142985,0.628570974,2126600
11/4/2002,0.671428978,0.702857018,0.639285982,0.642857015,3589600
11/5/2002,0.651428998,0.676428974,0.65071398,0.672142982,1045800
11/6/2002,0.629285991,0.664286017,0.612856984,0.664286017,7032200
11/7/2002,0.592857003,0.63785702,0.592857003,0.632143021,2585800
11/8/2002,0.610714018,0.612856984,0.553570986,0.605000019,4922400
11/11/2002,0.600714028,0.607142985,0.585713983,0.607142985,371000
11/12/2002,0.577857018,0.614286005,0.572143018,0.600000024,2191000
11/13/2002,0.641429007,0.642857015,0.555714011,0.579285979,3231200
11/14/2002,0.618570983,0.644999981,0.618570983,0.642857015,931000
11/15/2002,0.649999976,0.65357101,0.589286029,0.642143011,2045400
11/18/2002,0.77857101,0.780713975,0.625,0.648571014,10061800
11/19/2002,0.664286017,0.720713973,0.623570979,0.720000029,28194600
11/20/2002,0.717142999,0.727856994,0.660713971,0.674286008,10085600
11/21/2002,0.785713971,0.785713971,0.717857003,0.728570998,10516800
11/22/2002,0.786428988,0.800000012,0.752143025,0.757143021,4492600
